Italian,English
pista,track/ path
grido,scream
vestito,dress
disegno,drawing
pinguino,the penguin
tranne,except for
campionato,championship
il francese,french
benzina,gasoline
dialogo,dialog
l ngresso,the entrance
busta,envelope
in cucina,in the kitchen
gli animali,the animals
l ngolo,the corner
azione,action
liberazione,libration
portafoglio,wallet
angelo,angel
guanto,glove
i film,movies
romanzo,novel
canale,channel
la bistecca,the steak
caramella,the candy
lago,lake
pittore,painter
articolo,article
cane,the dog
pezzo,piece
titolo,title
democrazia,democracy
penna,pen
patata,potato
macchina,car
cavallo,the horse
tavola,gdy mówimy o stole do jedzenia
bevanda,the beverage
rivista,magazine
agosto,auguts
consiglio,advice
meditazione,meditation
buonanotte,good night
vantaggio,advantage
pazienca,patience
lupo,the wolf
cipolla,onion
giudici,judges
azzurro,light blue
fiore,flower
capotto,coat
tappeto,carpet
esempio,example
odore,smell
stipendio,salary
allegria,fun
contro di,agains
libreria,bookstore
aiuto,help
toro,the bull
ghiaccio,ice
personaggio,character
piano,plan
forza,strengh
entro,before / by
gara,race
citta,city
storia,story
il cucchiaio,the spoon
desiderio,wish
insalata,salad
tassa,tax
preghiera,prayer
salve,hello
carta,paper
campo,field
proprietaria,owner
farfalla,the butterfly
stivali,boots
forchetta,fork
pranzo,lunch
viola,purple
lo studente,student
discorso,speech
volo,flight
cuscino,pillow
lungo,long  / along
spagnolo,spanish
accordo,agrement
istituzione,institution
stile,style
alba,dawn
succo,juice
ditta / compagnia,firm /company .
cuoco,the cook
andiamo,let  go
liberta,freedom
infermiere,nurse
aeroplano,airplane
stamattina,this morning
tastiera,keyboard
orgin,pochodzenie
ieri,yesterday
rasoio,razor
pesce,the fish
crimine,crime
spettatore,spectator
gliglia,grill
divertimento,fun
concorrenza,competition
sabbia,sandal
coperta,blanket
orso,the beer
fortuna,luck
zuppa,the soup
professoressa,the professor ( female )
paura,fear
pasto,the meal
piogga,rain
sale,salt
stagiona,season
foresta,forest
mercoledi,wednesday
calze,socks
capacita,ability
bandiera,flag
novembre,novembre
matita,pencil
movimento,movement
tesi,thesis
la prenotazione,the reservation
astmosfera,atmosphere
l lcol,alcohol
aspetto,appearance
anima,soul
falimento,failure
gioco,game
grigio,gray
giovedi,thursday
birra,the bear
la maglia,the jersey
martedi,tuesday
luglio,july
stassera,this evening
delitti,crimes
maglia,sweater
serpente,the snake
vita,live
animale,the animal
coltello,knife
senso,sence /meaning
doccia,shower
Prego,you are welcome
oggi,today
falimenti,failures
fra,among
nuvola,cloud
parco,park
desino,destiny
riscaldamento,warming / heating
resultato,result
maiale,pork
il sale,the salt
biscotto,the cookie
chiave,key
giugno,june
mare,sea
compito,task
tetto,roof
latte,the milk
pavimento,floor
divisa,uniform
emozione,emotion
spettacolo,show / performance
il tedesco,german
strumento,instrument
passegiata,walk
il pattetine,the comb
limonata,lemonade
argomento,matter / subject
principiante,begginer
assicurazione,insurance
arancia,the orange
per,for
una cosa,one thing
vasca da bagno / vasca,bathtub
ruota,wheel
leone,the lion
cattedrale,cathedral
realta,reality
pallacanestro,basketball
la ciotola,the bowl
viso,face
ancora,still
estate,summer
pubblicita,advertising
conoscenza,knowleadge/consciousness
felicita,happiness
una bottiglia,the bottle
soddisfazione,satisfaction
lunedi,monday
il maglione,the sweater
scoperta,discovery
gioco di parole,word game
dignita,dignity
rete,network
fede,faith
ciao,hello
negozio,store
amicizia,friendship
forma,shape
ballo / danza,dance
orologio,clock
coda,tail / line
citadina,citizen
bugia,lie
verde,green
palco / palcoscenico,stage
asciugamano,towel
sentimento,feeling
con,with / to też się odmienai
secondo,according
fama,fame
l sola,the island
gevernatrice,governor
giacca,jacket
struttura,structure
cibo,the food
desidero,wish
sabato,saturday
pomeriggio,afternoon
colpa,guilt / fault
sconto,discount
codice,code
allegria,fun/joy/ mirth
pianoforte,piano
denaro,money
lacrima,tear
lombra,shade/ shadow
edificio,building
laurea / diploma,degree
necessita,necesity
aero /aerei,airplanes
campione,champion
aira,air
gennaio,january
chiesa,church
nebbia,fog
scienziato,scientist
il cameriere,the waiter
